date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,vol_ma5,vol_ma10,vol_ma20,turnover_rate
2021-02-01,2130.0,2160.0,2109.32,2095.0,29340.59,-6.86,-0.32,2108.878,2091.938,2100.623,33407.64,38198.07,41731.7,0.23
2021-01-29,2101.19,2149.48,2116.18,2090.22,33701.33,28.18,1.35,2122.014,2087.306,2095.007,38730.95,39178.42,42440.37,0.27
2021-01-28,2080.0,2109.66,2088.0,2060.02,35128.64,-1.0,-0.05,2114.768,2083.888,2089.098,37840.21,41759.23,42698.31,0.28
2021-01-27,2141.89,2141.89,2089.0,2085.0,37120.17,-52.89,-2.47,2111.168,2088.488,2081.348,38476.51,41861.58,42664.48,0.3
2021-01-26,2185.0,2187.0,2141.89,2125.11,31747.46,-33.11,-1.52,2101.494,2095.988,2070.248,40068.96,41588.56,41951.86,0.25
2021-01-25,2083.0,2179.5,2175.0,2083.0,55957.16,95.05,4.57,2074.998,2097.889,2056.804,42988.51,42519.67,41868.5,0.45
2021-01-22,2069.0,2100.0,2079.95,2060.1,29247.61,9.95,0.48,2052.598,2090.362,2039.554,39625.89,42031.94,40225.05,0.23
2021-01-21,2048.0,2090.02,2070.0,2041.0,38310.17,29.37,1.44,2053.008,2091.367,2027.073,45678.24,44493.35,40655.52,0.3
2021-01-20,2008.0,2055.49,2040.63,1982.5,45082.42,31.22,1.55,2065.808,2098.367,2015.656,45246.65,44455.47,41125.32,0.36
2021-01-19,2073.11,2096.3,2009.41,2006.85,46345.19,-53.59,-2.6,2090.482,2104.304,2007.674,43108.15,44688.25,40903.73,0.37
2021-01-18,2061.06,2091.48,2063.0,2040.27,39144.04,-19.0,-0.91,2120.78,2109.308,1999.329,42050.83,45265.33,40121.3,0.31
2021-01-15,2115.0,2134.35,2082.0,2029.0,59509.39,-52.0,-2.44,2128.126,2102.708,1988.429,44438.0,45702.33,39517.95,0.47
2021-01-14,2156.0,2163.0,2134.0,2116.11,36152.2,-30.0,-1.39,2129.726,2094.308,1977.604,43308.45,43637.4,38344.01,0.29
2021-01-13,2164.0,2173.33,2164.0,2135.0,34389.93,3.1,0.14,2130.926,2074.208,1962.904,43664.29,43467.39,38143.91,0.27
2021-01-12,2088.0,2160.9,2160.9,2085.0,41058.59,61.17,2.91,2118.126,2044.508,1945.505,46268.34,42315.15,37904.66,0.33
2021-01-11,2090.0,2150.5,2099.73,2058.6,51079.9,9.73,0.47,2097.836,2015.718,1928.91,48479.84,41217.33,37504.33,0.41
2021-01-08,2142.0,2150.88,2090.0,2063.02,53861.64,-50.0,-2.34,2077.29,1988.745,1914.923,46966.66,38418.15,36489.13,0.43
2021-01-07,2097.0,2140.0,2140.0,2075.0,37931.39,40.0,1.91,2058.89,1962.779,1902.068,43966.34,36817.7,35428.72,0.3
2021-01-06,2064.8,2125.0,2100.0,2036.03,47410.2,40.55,1.97,2017.49,1932.944,1887.068,43270.48,37795.17,35089.76,0.38
2021-01-05,1990.0,2059.45,2059.45,1982.46,52116.05,62.45,3.13,1970.89,1911.044,1874.568,38361.96,37119.21,35791.95,0.41
2021-01-04,1999.98,2004.99,1997.0,1983.81,43514.0,-1.0,-0.05,1933.6,1889.349,1862.216,33954.83,34977.27,36102.71,0.35
2020-12-31,1941.0,1998.98,1998.0,1939.0,38860.07,65.0,3.36,1900.2,1874.149,1852.021,29869.64,33333.57,37051.57,0.31
2020-12-30,1870.0,1933.0,1933.0,1869.99,34452.1,66.0,3.54,1866.668,1860.9,1839.571,29669.05,33050.63,36583.86,0.27
2020-12-29,1873.0,1886.8,1867.0,1855.0,22867.59,-6.0,-0.32,1848.398,1851.6,1829.822,32319.85,32820.43,36039.84,0.18
2020-12-28,1826.6,1888.8,1873.0,1826.05,30080.37,43.0,2.35,1851.198,1846.501,1823.322,35876.45,33494.17,36306.27,0.24
2020-12-25,1802.99,1847.0,1830.0,1800.0,23088.05,-0.34,-0.02,1845.098,1842.101,1815.367,35999.72,33791.34,36399.25,0.18
2020-12-24,1818.0,1858.88,1830.34,1795.02,37857.14,-11.31,-0.61,1848.098,1841.101,1810.762,36797.51,34560.11,36323.28,0.3
2020-12-23,1897.99,1906.2,1841.65,1821.02,47706.09,-39.35,-2.09,1855.132,1841.357,1805.965,36432.21,34039.75,35591.84,0.38
2020-12-22,1849.97,1898.99,1881.0,1842.51,40650.6,38.5,2.09,1854.802,1841.192,1800.226,33321.02,32384.35,34617.85,0.32
2020-12-21,1840.0,1851.23,1842.5,1837.6,30696.72,-2.5,-0.14,1841.804,1838.092,1794.351,31111.89,34464.69,34208.59,0.24
2020-12-18,1851.81,1869.01,1845.0,1841.08,27076.98,-20.51,-1.1,1839.104,1835.082,1791.737,31582.95,37228.15,36005.61,0.22
2020-12-17,1845.5,1868.0,1865.51,1840.0,36030.64,25.51,1.39,1834.104,1829.893,1785.485,32322.71,40769.57,35745.5,0.29
2020-12-16,1830.5,1845.67,1840.0,1820.21,32150.16,23.99,1.32,1827.582,1818.242,1778.219,31647.29,40117.09,35334.75,0.26
2020-12-15,1833.5,1837.22,1816.01,1805.0,29604.97,-12.99,-0.71,1827.582,1808.043,1770.901,31447.68,39259.24,35486.19,0.24
2020-12-14,1827.77,1829.98,1829.0,1815.0,33052.0,9.0,0.49,1834.38,1800.142,1765.891,37817.49,39118.36,35267.15,0.26
2020-12-11,1834.78,1837.32,1820.0,1804.81,30775.79,-12.9,-0.7,1831.06,1788.633,1760.943,42873.36,39007.17,35145.22,0.24
2020-12-10,1840.0,1849.77,1832.9,1828.0,32653.54,-7.1,-0.39,1825.682,1780.423,1755.193,49216.44,38086.45,35014.21,0.26
2020-12-09,1865.95,1866.0,1840.0,1839.0,31152.12,-10.0,-0.54,1808.902,1770.572,1750.288,48586.88,37143.93,34555.18,0.25
2020-12-08,1815.0,1875.0,1850.0,1813.0,61454.0,37.6,2.08,1788.504,1759.26,1744.855,47070.8,36851.35,34740.11,0.49
2020-12-07,1802.7,1840.39,1812.4,1800.55,58331.33,19.29,1.08,1765.904,1750.61,1739.605,40419.24,33952.49,33176.89,0.46
2020-12-04,1752.0,1800.1,1793.11,1752.0,62491.19,44.11,2.52,1746.206,1748.391,1736.114,35140.99,34783.08,32333.8,0.5
2020-12-03,1738.01,1755.66,1749.0,1732.1,29505.78,10.99,0.63,1735.164,1741.076,1731.489,26956.47,30721.42,30361.82,0.23
2020-12-02,1746.0,1749.0,1738.01,1731.0,23571.69,1.01,0.06,1732.242,1738.195,1730.134,25700.97,30552.42,30062.74,0.19
2020-12-01,1726.0,1738.99,1737.0,1720.01,28196.2,23.09,1.35,1730.016,1733.759,1728.213,26631.9,31713.15,29706.34,0.22
2020-11-30,1735.0,1738.9,1713.91,1713.91,31940.07,-23.99,-1.38,1735.316,1731.639,1726.113,27485.73,31415.93,29471.41,0.25
2020-11-27,1732.66,1740.03,1737.9,1718.0,21568.61,3.51,0.2,1750.576,1733.253,1724.118,34425.17,31283.27,28927.72,0.17
2020-11-26,1726.0,1739.99,1734.39,1725.18,23228.3,7.51,0.43,1746.988,1729.963,1720.724,34486.38,31941.96,29152.07,0.18
2020-11-25,1761.5,1768.88,1726.88,1724.0,28226.32,-36.62,-2.08,1744.148,1730.003,1717.804,35403.87,31966.44,29959.34,0.22
2020-11-24,1769.99,1782.5,1763.5,1751.47,32465.36,-26.71,-1.49,1737.502,1730.45,1714.701,36794.39,32628.88,30279.85,0.26
2020-11-23,1771.01,1809.9,1790.21,1771.01,66637.24,70.25,4.08,1727.962,1728.6,1707.776,35346.13,32401.29,30853.8,0.53
2020-11-20,1720.0,1736.0,1719.96,1712.65,21874.66,-0.23,-0.01,1715.93,1723.836,1700.415,28141.38,29884.53,30822.7,0.17
2020-11-19,1684.5,1725.0,1720.19,1680.6,27815.76,26.54,1.57,1712.938,1721.902,1700.184,29397.54,30002.22,30693.55,0.22
2020-11-18,1715.0,1720.53,1693.65,1683.16,35178.95,-22.15,-1.29,1715.858,1722.073,1701.299,28529.01,29573.06,30426.81,0.28
2020-11-17,1740.0,1742.35,1715.8,1701.07,25224.03,-14.25,-0.82,1723.398,1722.666,1703.283,28463.36,27699.53,29612.93,0.2
2020-11-16,1711.0,1730.05,1730.05,1697.26,30613.49,25.05,1.47,1729.238,1720.586,1704.193,29456.45,27526.88,29738.48,0.24
