datetime,code,open,close,high,low,vol,amount,p_change
2014-04-25,600519,167.98,164.69,168.0,161.79,95877.0,1581409280.0,-6.3
2014-04-28,600519,162.08,162.79,164.56,159.81,33028.0,535511104.0,-1.15
2014-04-29,600519,162.8,163.59,165.48,162.47,27996.0,459181216.0,0.49
2014-04-30,600519,163.95,163.88,164.29,162.53,19220.0,314017280.0,0.18
2014-05-05,600519,163.5,160.25,163.5,157.08,36743.0,585326656.0,-2.22
2014-05-06,600519,160.0,160.79,162.7,160.0,13622.0,219512512.0,0.34
2014-05-07,600519,161.61,160.66,161.61,159.6,11960.0,192090272.0,-0.08
2014-05-08,600519,160.8,160.67,162.49,160.42,14697.0,237490048.0,0.01
2014-05-09,600519,160.66,160.62,162.3,160.3,16721.0,269803744.0,-0.03
2014-05-12,600519,162.29,160.91,162.3,159.5,26194.0,420667488.0,0.18
2014-05-13,600519,160.77,160.74,161.61,159.56,15939.0,256197648.0,-0.11
2014-05-14,600519,159.99,155.27,160.93,154.01,34016.0,534826240.0,-3.4
2014-05-15,600519,154.98,156.15,157.08,154.5,16983.0,264995344.0,0.57
2014-05-16,600519,156.15,155.16,157.1,154.67,18467.0,286938912.0,-0.63
2014-05-19,600519,152.5,147.98,153.0,147.94,56250.0,838456320.0,-4.63
2014-05-20,600519,148.1,144.98,149.44,143.6,46885.0,682615744.0,-2.03
2014-05-21,600519,144.1,151.0,151.66,143.95,38737.0,575063808.0,4.15
2014-05-22,600519,150.9,150.05,153.6,149.65,18678.0,281907872.0,-0.63
2014-05-23,600519,150.0,152.3,152.78,149.98,14009.0,212338048.0,1.5
2014-05-26,600519,154.9,153.57,154.9,152.85,8910.0,137024224.0,0.83
2014-05-27,600519,153.0,153.2,155.75,152.86,13035.0,201097680.0,-0.24
2014-05-28,600519,152.89,153.94,155.0,152.8,12501.0,192903904.0,0.48
2014-05-29,600519,153.73,154.29,155.93,153.46,10106.0,156525424.0,0.23
2014-05-30,600519,154.25,153.22,155.28,153.02,9217.0,141927536.0,-0.69
2014-06-03,600519,153.0,152.77,154.5,152.25,13048.0,199563920.0,-0.29
2014-06-04,600519,152.99,151.15,153.38,150.02,10494.0,158992000.0,-1.06
2014-06-05,600519,151.12,154.77,155.0,149.33,20678.0,314507712.0,2.39
2014-06-06,600519,154.68,153.59,155.65,152.29,9477.0,145936336.0,-0.76
2014-06-09,600519,152.3,153.23,154.4,152.3,10034.0,154198992.0,-0.23
2014-06-10,600519,153.25,154.8,155.29,153.25,19305.0,298186720.0,1.02
2014-06-11,600519,154.75,153.94,155.38,153.21,10781.0,166086240.0,-0.56
2014-06-12,600519,154.07,152.63,154.07,152.12,11499.0,175855792.0,-0.85
2014-06-13,600519,152.69,152.81,153.83,151.16,16970.0,259337712.0,0.12
2014-06-16,600519,152.9,154.42,154.78,152.4,16237.0,249568880.0,1.05
2014-06-17,600519,154.3,153.19,154.3,152.2,16364.0,250297888.0,-0.8
2014-06-18,600519,153.8,153.58,154.45,153.4,14024.0,215965712.0,0.25
2014-06-19,600519,153.56,152.73,154.2,152.5,11551.0,176868336.0,-0.55
2014-06-20,600519,152.7,153.18,153.6,152.32,12019.0,183993520.0,0.29
2014-06-23,600519,153.5,156.31,156.38,153.36,28983.0,449611776.0,2.04
2014-06-24,600519,156.62,163.57,163.8,156.55,38532.0,621636096.0,4.64
2014-06-25,600519,145.33,142.23,145.33,141.5,38171.0,546556416.0,-13.05
2014-06-26,600519,142.23,141.64,142.98,141.41,36348.0,515915136.0,-0.41
